# ABI_EXPORT_STATUS.txt — the per-symbol status taxonomy of the exported
# lean_* C surface (plan §6.5; bead franken_lean-83r slice 1, completing the
# fln-lld census join).
#
# One `row` per Linkage::Export symbol of the generated census
# (fln-rt::abi::FUNCTION_CENSUS, extracted from the pinned lean.h): there is
# no unclassified symbol. `support` rows cover non-census symbols the pin's
# LEAN_MIMALLOC lean.h inlines link-demand from generated C (mimalloc.h twins).
# tools/structure-guard (FLN-STRUCT-026) enforces the join in BOTH directions:
#   * every census Export symbol has exactly one row; stale/unknown rows fail;
#   * every #[unsafe(export_name)] site in fln-unsafe-abi names a row with an
#     implemented status; an implemented row without a site is stale; an
#     Unsupported row with a site is a lie; export attrs anywhere else fail.
#
# Row grammar (five '|'-separated fields, all non-empty):
#   row <symbol> | <status> | <site-or-owner> | <evidence> | <notes>
#   support <symbol> | <status> | <site> | <evidence> | <notes>
#   extern <symbol> | <status> | <site-or-owner> | <evidence> | <notes>
# `extern` rows are runtime symbols OUTSIDE lean.h that generated C declares
# itself (the contracts/extern_census.tsv universe, surfaced by the stage0
# demand audit); they join export sites exactly like `row`s.
# status ∈ NativeSafe | RawPlatform | CompatWrapper | ReferenceSemanticAdapter
#          | Unsupported   (§6.5; Unsupported rows carry the owning bead)

schema fln-abi-export-status/1

row lean_alloc_object | CompatWrapper | crates/fln-unsafe-abi/src/export.rs | export parity suites (tests.rs export_*); stage0 gauntlet lane (marrow_stage0_gauntlet.sh) | membrane big path (object.cpp:355-376); OOM = INTERNAL PANIC like the pin
row lean_task_map_core | Unsupported | fln-3gv | census (fln-rt::abi) | task/IO/once runtime plane on asupersync effects
row lean_task_pure | Unsupported | fln-3gv | census (fln-rt::abi) | task/IO/once runtime plane on asupersync effects
row lean_task_spawn_core | Unsupported | fln-3gv | census (fln-rt::abi) | task/IO/once runtime plane on asupersync effects
row lean_thunk_get_core | Unsupported | franken_lean-83r | census (fln-rt::abi) | later export slice over the existing object-model twins
row lean_uint16_of_big_nat | Unsupported | fln-bignum shim | census (fln-rt::abi) | kernel-grade bignum arithmetic (Crucible workstream)
row lean_uint16_once_cold | Unsupported | fln-3gv | census (fln-rt::abi) | task/IO/once runtime plane on asupersync effects
row lean_uint32_of_big_nat | Unsupported | fln-bignum shim | census (fln-rt::abi) | kernel-grade bignum arithmetic (Crucible workstream)
row lean_uint32_once_cold | Unsupported | fln-3gv | census (fln-rt::abi) | task/IO/once runtime plane on asupersync effects
row lean_uint64_of_big_nat | Unsupported | fln-bignum shim | census (fln-rt::abi) | kernel-grade bignum arithmetic (Crucible workstream)
row lean_uint64_once_cold | Unsupported | fln-3gv | census (fln-rt::abi) | task/IO/once runtime plane on asupersync effects
row lean_uint8_of_big_nat | Unsupported | fln-bignum shim | census (fln-rt::abi) | kernel-grade bignum arithmetic (Crucible workstream)
row lean_uint8_once_cold | Unsupported | fln-3gv | census (fln-rt::abi) | task/IO/once runtime plane on asupersync effects
row lean_usize_of_big_nat | Unsupported | fln-bignum shim | census (fln-rt::abi) | kernel-grade bignum arithmetic (Crucible workstream)
row lean_usize_once_cold | Unsupported | fln-3gv | census (fln-rt::abi) | task/IO/once runtime plane on asupersync effects
row lean_utf8_n_strlen | CompatWrapper | crates/fln-unsafe-abi/src/export.rs | export parity suites (tests.rs export_*); stage0 gauntlet lane (marrow_stage0_gauntlet.sh) | bug-compatible get_utf8_size stepping (utf8.cpp:49-58)
row lean_utf8_strlen | CompatWrapper | crates/fln-unsafe-abi/src/export.rs | export parity suites (tests.rs export_*); stage0 gauntlet lane (marrow_stage0_gauntlet.sh) | bug-compatible get_utf8_size stepping (utf8.cpp:16-43)
support mi_free | RawPlatform | crates/fln-unsafe-abi/src/export.rs | small-heap prefix suite; gauntlet link lane | LEAN_MIMALLOC inline link demand (lean.h:436-441, 490-497); size-prefixed, mi_free null-safe
support mi_malloc_small | RawPlatform | crates/fln-unsafe-abi/src/export.rs | small-heap prefix suite; gauntlet link lane | LEAN_MIMALLOC inline link demand (lean.h:436-441, 490-497); size-prefixed, mi_free null-safe
extern lean_sorry | CompatWrapper | crates/fln-unsafe-abi/src/export.rs | gauntlet panic lane; stage0 demand audit | INTERNAL PANIC per the pin; never fabricates a value (object.cpp:208-211)
extern lean_system_platform_nbits | CompatWrapper | crates/fln-unsafe-abi/src/export.rs | export platform test; gauntlet differential | boxed 64 on the certified targets (platform.cpp:12-18)
extern lean_string_from_utf8_unchecked | CompatWrapper | crates/fln-unsafe-abi/src/export.rs | export byte-array roundtrip test; gauntlet differential | consumes the byte array; bug-compatible utf8_n_strlen count
extern lean_string_to_utf8 | CompatWrapper | crates/fln-unsafe-abi/src/export.rs | export byte-array roundtrip test; gauntlet differential | borrowed string to fresh sarray of m_size-1 bytes
